call_id,transcript,call_duration_min,call_outcome,rep_id,rep_tenure,cuisine_type,restaurant_type,num_locations,_LOADED_AT,_LOADED_BY
call_001,"the prospect (rest_142): Hi,
the prospect (rest_142): if you record your name and reason for calling,
the prospect (rest_142): I'll see if this person is available.
rep_03: Talk to Sariah.
the prospect (rest_142): Thanks,
the prospect (rest_142): Soraya.
the prospect (rest_142): Please stay on the line.
rep_03: Hey
rep_03: Sariah.
the prospect (rest_142): Yes.
rep_03: Hi sir this is a Peril from this morning.
rep_03: How you doing today?
the prospect (rest_142): Um,
the prospect (rest_142): we,
the prospect (rest_142): I already talked to people in my restaurant.
the prospect (rest_142): They already have the door there and GrabHub and
rep_03: okay okay oh no no no so we wouldn't be like a third party it's not like a third party platform we basically give you the capability to do online ordering from your own website and
the prospect (rest_142): Uber.
the prospect (rest_142): I don't think we need anything else besides that.
the prospect (rest_142): Okay?
rep_03: we bring customers off of doordash and ubereats on your website so that you're not paying commissions over there.
rep_03: so we basically help you pay no commissions plus we bring you more sales so yeah i wanted to show you how we do that do you want to do would that be a yeah was that yeah
the prospect (rest_142): I don't know.
the prospect (rest_142): Yeah.
the prospect (rest_142): Okay.
the prospect (rest_142): Okay.
the prospect (rest_142): Can you talk to the lady over here?
rep_03: of course no worries no Yeah,
the prospect (rest_142): I have to cook and I don't have no time to talk to nobody at all.
the prospect (rest_142): Go on.
rep_03: go ahead.
the prospect (rest_142): um eight three two four five four two seven one one okay her name her name kwan k-u-n
rep_03: [PHONE] and what's the name?
rep_03: What's that?
rep_03: Sorry,
rep_03: could you spell that?
rep_03: K-U-N.
rep_03: Okay.
the prospect (rest_142): yeah
rep_03: And she's the manager,
rep_03: right?
rep_03: Okay,
rep_03: perfect.
rep_03: I'll talk to her.
the prospect (rest_142): Yeah,
rep_03: Thank you,
rep_03: sir.
rep_03: Take care.
rep_03: Bye.
the prospect (rest_142): yeah,
the prospect (rest_142): okay.
the prospect (rest_142): Agree.
the prospect (rest_142): Yeah,
rep_03: Okay.
rep_03: Take care.
rep_03: Bye.
the prospect (rest_142): okay.
the prospect (rest_142): Okay,
the prospect (rest_142): bye.
the prospect (rest_142): I got you.
the prospect (rest_142): I'm coming.
the prospect (rest_142): I'm coming.
the prospect (rest_142): I chicken steak.",3,demo_booked,rep_03,senior,unknown,full_service,2,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_002,"the prospect (rest_100): Hi,
the prospect (rest_100): if you record your name and reason for calling,
the prospect (rest_100): I'll see if this person is available.
rep_11: rep_11 calling from owner.com.
the prospect (rest_100): Thanks,
the prospect (rest_100): rep_11.
the prospect (rest_100): Please stay on the line.
rep_11: Hello?
the prospect (rest_100): Hello?
rep_11: Morning,
rep_11: the prospect.
rep_11: It's rep_11 here from Owner.
rep_11: How you doing?
the prospect (rest_100): Good.
the prospect (rest_100): How are you?
rep_11: I'm doing good.
rep_11: Did I wake you?
rep_11: I'm so sorry.
the prospect (rest_100): Nope.
rep_11: Okay,
rep_11: perfect.
rep_11: Yeah,
rep_11: I was just calling to confirm.
rep_11: I know you put in a time for 1030 today and you wanted to keep that time because you got busy on Friday.
rep_11: Does 1030 still work or do you want to move a little bit into the afternoon?
the prospect (rest_100): Yeah,
the prospect (rest_100): 10.30 or 2 o'clock works too.
the prospect (rest_100): I saw that.
rep_11: Okay.
rep_11: Yeah,
the prospect (rest_100): Yep.
rep_11: I...
rep_11: Just went for 2 p.m.
rep_11: because that was when you wanted to meet on Friday.
rep_11: But we can definitely meet at 1030 if that's doable.
rep_11: Would you have access to a laptop at 1030?
the prospect (rest_100): yes.
rep_11: Amazing.
rep_11: Okay,
rep_11: I'll send it in for 1030 and I'll see you then,
rep_11: okay?
the prospect (rest_100): Not a laptop.
the prospect (rest_100): It'll be a desktop and
the prospect (rest_100): I won't have a camera if that's all right.
rep_11: No,
rep_11: absolutely.
the prospect (rest_100): All right.
rep_11: It's no problem at all.
rep_11: I just want to make sure you can see.
rep_11: what we share,
rep_11: like when we share my screen.
rep_11: But yeah,
rep_11: 1030 is awesome.
rep_11: You're going to be meeting with
rep_11: Ryan, who's one of my best product specialists.
rep_11: We're just going to be going over all the reports that we pulled,
rep_11: giving you the play-by-play,
rep_11: answering your questions,
rep_11: that type of thing,
rep_11: okay?
the prospect (rest_100): Alrighty.
the prospect (rest_100): Sounds good.
rep_11: Amazing.
rep_11: I rep_14 see you soon.
rep_11: Take care now.
the prospect (rest_100): Alright.
rep_11: Bye.
the prospect (rest_100): Thank you.
the prospect (rest_100): Bye.",2,demo_booked,rep_11,new,Mexican,full_service,1,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_003,"rep_09: al o buenos días en donde cuando a the prospect no se encuentra no problemas sabe cuánto va a llegar sabes cuándo va a llegar si
the prospect (rest_137): ¿Dónde se encuentra?
the prospect (rest_137): No sabría decirte la hora en que llega.
the prospect (rest_137): Pero si gustas dejarme su número,
the prospect (rest_137): cuando llegue que te marque.
rep_09: por favor el nombre es the prospect
the prospect (rest_137): Ok,
the prospect (rest_137): dígame.
rep_09: El número de teléfono es [PHONE].
the prospect (rest_137): 726890,
rep_09: Sí,
rep_09: de la parte de la compañía Owner.com.
rep_09: Owner como dueño.
the prospect (rest_137): la compañía que perdón,
rep_09: O-W-N-E-R.com.
the prospect (rest_137): ok,
the prospect (rest_137): yo le digo.
rep_09: Bueno,
rep_09: muchas gracias.
rep_09: Hasta luego.
rep_09: Bye.",1,demo_booked,rep_09,mid,Mexican,quick_service,21,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_004,"the prospect (rest_094): Hello.
rep_12: Hi,
rep_12: I'm the prospect.
rep_12: It's JC from Owner.com.
rep_12: How's it going?
the prospect (rest_094): I'm Andre.
rep_12: Okay,
rep_12: so it seems like I caught you at a not great time.
rep_12: If you're just waking up,
rep_12: I can give you a call later.
the prospect (rest_094): Yeah,
the prospect (rest_094): I am.
rep_12: Okay,
rep_12: okay.
rep_12: When's better for me to call?
rep_12: I can maybe give you a call around 10 or something like that,
rep_12: okay?
the prospect (rest_094): Um,
the prospect (rest_094): probably a little later than that,
the prospect (rest_094): though.
rep_12: Okay.
the prospect (rest_094): Um,
the prospect (rest_094): I'm trying to think.
the prospect (rest_094): I'm sorry.
the prospect (rest_094): I woke up for a little bit,
rep_12: no worries okay
the prospect (rest_094): and then I dozed back off before I hit in.
the prospect (rest_094): Um,
the prospect (rest_094): oh,
the prospect (rest_094): gosh,
the prospect (rest_094): I'm trying to think.
the prospect (rest_094): Um,
the prospect (rest_094): either probably around
the prospect (rest_094): 1 o'clock.
the prospect (rest_094): That might be the best.
rep_12: okay sounds good i'll give you a ring at one um awesome
the prospect (rest_094): That's usually my slower time.
the prospect (rest_094): All right,
the prospect (rest_094): thank you.
rep_12: Sounds good.
rep_12: Go back to sleep.
the prospect (rest_094): All right,
rep_12: Okay.
rep_12: Talk soon.
the prospect (rest_094): bye-bye.
rep_12: Bye.",1,demo_booked,rep_12,new,Italian,full_service,2,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_005,"the prospect (rest_067): Hello.
rep_09: Hi,
rep_09: Pikun.
rep_09: It's
rep_09: rep_09 from Owner.com.
rep_09: How are you?
the prospect (rest_067): Good.
rep_09: Good,
rep_09: glad to hear it.
rep_09: I saw that you just put in a request to get some time scheduled in with one of our product specialists.
rep_09: So I just wanted to reach out and find a time that could work for you where we could get you scheduled in.
the prospect (rest_067): You mean...
rep_09: Pardon me?
the prospect (rest_067): You mean schedule?
rep_09: Yeah,
rep_09: get you scheduled in for that meeting with owner like you requested.
rep_09: Yeah,
rep_09: we have some availability,
rep_09: some pretty flexible availability available throughout today.
rep_09: I'm seeing some availability like at around
rep_09: 11 as well as in the afternoon.
rep_09: But what times typically work better for you?
the prospect (rest_067): Allow to talk.
rep_09: 2 p.m.
rep_09: today?
the prospect (rest_067): Yes.
rep_09: Okay.
rep_09: The meetings,
rep_09: just so you have a little bit more context,
rep_09: happen via Google Meets.
rep_09: So
rep_09: I'm going to send you,
rep_09: it's similar to a Zoom.
rep_09: Have you used one of those before?
the prospect (rest_067): No.
rep_09: Okay,
rep_09: no worries.
rep_09: What I can do for you is I'm going to send you the link to your email that you've provided,
rep_09: timboraban at gmail.com.
rep_09: And then
rep_09: Do you have like a computer or a tablet at home by any chance?
rep_09: Piccoon,
rep_09: can you hear me?",2,demo_booked,rep_09,mid,Thai,full_service,1,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_006,"rep_15: Cafe Rene?
the prospect (rest_038): Telephone number [PHONE].
rep_15: Yeah,
rep_15: I was there like two months ago.
rep_15: I wish.
the prospect (rest_038): Can't take your call now.
rep_15: You liked it?
rep_15: Really good.
rep_15: Oh my god.
the prospect (rest_038): At the tone,
the prospect (rest_038): please record your message.
rep_15: We got one of the pastas that honestly was probably,
the prospect (rest_038): When you've finished recording,
the prospect (rest_038): simply hang up or press pound for further options.
rep_15: that was actually my least favorite but I don't remember which pasta we got.
rep_15: We got the mozzarella sticks which were fucking crazy.
rep_15: Oh my god.
rep_15: Oh my god.
rep_15: All these places are like close to here,
rep_15: eh?
rep_15: Like I don't realize I'm in the middle of fucking downtown.
rep_15: Like 10 minute walk any direction.
rep_15: Yeah,
rep_15: yeah.
rep_15: For I think it was my or her birthday,
rep_15: I don't even remember.
rep_15: It was so good.
rep_15: Have you been to Public Gardens?
rep_15: Is it like all hype or is it good?
rep_15: It's family style though.
rep_15: Like it's big,
rep_15: like big like dishes,
rep_15: right?
rep_15: Yeah,
rep_15: yeah,
rep_15: yeah.
rep_15: like that yeah that place like went off from like marketing and like branding like off yeah well i i remember that and i also remember no
rep_15: one ever hearing about it to all of a sudden every single person in the world heard about it and went there in like three days anyway see you dog take it easy
the prospect (rest_038): To review,
the prospect (rest_038): re-record,
the prospect (rest_038): or add to your message,
the prospect (rest_038): press 1.
the prospect (rest_038): To the prospect your message urgent,
the prospect (rest_038): press 2.
the prospect (rest_038): To the prospect your message private,
the prospect (rest_038): press 3.
the prospect (rest_038): To send your message as is,
the prospect (rest_038): press pound.
the prospect (rest_038): Are you still there?
the prospect (rest_038): To review,
the prospect (rest_038): re-record,
the prospect (rest_038): or add to your message,
the prospect (rest_038): press 1.
the prospect (rest_038): To the prospect your message urgent,
the prospect (rest_038): press 2.
the prospect (rest_038): To the prospect your message private,
the prospect (rest_038): press 3.
the prospect (rest_038): To send your message as is,
the prospect (rest_038): press pound.
the prospect (rest_038): Are you still there?
the prospect (rest_038): To review,
the prospect (rest_038): re-record,
the prospect (rest_038): or add to your message,
the prospect (rest_038): press 1.
the prospect (rest_038): To the prospect your message urgent,
the prospect (rest_038): press 2.
the prospect (rest_038): To the prospect your message private,
the prospect (rest_038): press 3.
the prospect (rest_038): To send your message as is,
the prospect (rest_038): press pound.
the prospect (rest_038): Are you still there?
the prospect (rest_038): Your message has been sent.
the prospect (rest_038): Goodbye.",16,demo_booked,rep_15,new,Mexican,quick_service,4,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_007,"the prospect: Hold on,
the prospect: can I help you?
rep_01: Hi,
rep_01: the prospect there.
the prospect: can I tell him who's calling?
rep_01: Yeah,
rep_01: it's just rep_01 Fawcett from Owner.com.
rep_01: Can you just let them know that we're scheduled to connect tomorrow morning?
the prospect: Okay,
the prospect: hold on,
the prospect: please.
rep_01: Yeah,
rep_01: yeah,
rep_01: I can hold.
the prospect: Hello?
rep_01: Hey,
rep_01: the prospect.
the prospect: Yeah.
rep_01: Yeah,
rep_01: I was just calling just to remind you that we're scheduled to connect tomorrow morning.
rep_01: That still works?
the prospect: Um,
the prospect: I hadn't heard back from the owner yet.
the prospect: Remember I said
the prospect: I needed to talk to him?
rep_01: Yeah,
rep_01: you said you were going to speak with him tonight,
rep_01: I think you said.
the prospect: Yep,
the prospect: this evening.
rep_01: Yeah.
the prospect: So,
the prospect: um,
the prospect: let me...
the prospect: 2242
rep_01: I thought I texted you.
rep_01: From my number.
rep_01: I don't know if you got it because I was getting some different responses.
rep_01: What is your cell phone number?
the prospect: I don't like to use my cell phone for business purposes.
rep_01: Okay,
rep_01: your number is not the one that ends in 2192.
the prospect: Yeah,
the prospect: that is.
the prospect: That's it.
rep_01: Oh that is okay I did text you earlier this week then after our meeting.
the prospect: You can send it to them.
rep_01: Okay.
the prospect: Okay.
rep_01: No,
rep_01: no worries
rep_01: I rep_14 text you again from the number that works best and then
the prospect: Well,
the prospect: you can use that number then.
rep_01: Okay.
the prospect: I just have to save it.
rep_01: And then no worries.
rep_01: And then look forward to chatting tomorrow.
rep_01: Okay.
the prospect: What number would it have been?
rep_01: It would have been [PHONE].
the prospect: Okay,
the prospect: I see it.
the prospect: Here's
rep_01: Yeah.
the prospect: the prospect. All right,
rep_01: This one right here.
the prospect: thank you.
rep_01: It's text you again.
rep_01: Yeah.
rep_01: Yeah,
rep_01: exactly.
rep_01: And is the prospect with one end or two ends?
the prospect: It's just one.
rep_01: Okay,
rep_01: perfect.
rep_01: Perfect.
rep_01: Awesome.
rep_01: Okay.
rep_01: Thanks,
rep_01: the prospect.
the prospect: All right,
rep_01: We'll chat then.
rep_01: Bye-bye.
the prospect: thank you.
the prospect: Okay.",2,demo_booked,rep_01,senior,unknown,unknown,1,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_008,"rep_09: Hi,
rep_09: I'm looking to speak with the prospect,
rep_09: is it?
rep_09: Yeah,
rep_09: me and him actually have a meeting scheduled for
rep_09: 1.30, so in a little bit less than an hour.
rep_09: I just wanted to actually make sure he had access to that link and confirm a couple of details.
rep_09: Do you happen to know if he's planning on taking the meeting at the restaurant or is he just not planning on coming in at all?
rep_09: Yeah,
rep_09: I know he's,
rep_09: I know you have like the two locations.
rep_09: Do you think he might be at the other one or he just doesn't come into the restaurant at all?
rep_09: Yeah,
rep_09: he's still like running the show for both of the locations though,
rep_09: right?
rep_09: I said he's still running the show for both of the locations though,
rep_09: right?
rep_09: Okay,
rep_09: cool.
rep_09: Hmm,
rep_09: interesting.
rep_09: Okay,
rep_09: yeah,
rep_09: I honestly just wanted to get a little bit more context because you booked this meeting,
rep_09: but I just haven't been able to get in contact with him.
rep_09: So just wanted to get a better idea.
rep_09: But I'll maybe just check.
rep_09: He left a mobile number as in 4065.
rep_09: Is that still the best way to reach him?
rep_09: Yeah,
rep_09: let me know when you have the number pulled up and I can read out the number that I have and we can cross reference.
rep_09: You don't have to take a privacy thing.
rep_09: He left me a [PHONE].
rep_09: Okay,
rep_09: cool.
rep_09: I'll try it one more time.
rep_09: I just,
rep_09: you know,
rep_09: didn't want to interrupt something that was happening.
rep_09: Probably might be at the restaurant.
rep_09: Do you happen to have any idea why he might have seen this question?
rep_09: Are you calling from a company like Owner,
rep_09: Owner.com?
rep_09: Yeah,
rep_09: no worries at all.
rep_09: Appreciate all your help.
rep_09: What was your name?
rep_09: I'm so sorry.
rep_09: I just want to say thank you.
rep_09: Janet,
rep_09: thank you so much.
rep_09: I really appreciate it.
rep_09: rep_09,
rep_09: thanks for the interview.
rep_09: If you could just send him a text letting him know rep_09 from Owner,
rep_09: just wanted to confirm if you have the link or not.
rep_09: That's it.
rep_09: Appreciate it.
rep_09: Thank you so much.",3,demo_booked,rep_09,mid,Mexican,full_service,2,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_009,"the prospect (rest_096): Thank you for calling.
the prospect (rest_096): To ensure the highest level of customer care,
the prospect (rest_096): this call may be recorded.
the prospect (rest_096): Please hold while we connect your call.
the prospect (rest_096): Thank you for calling on my ears and Katie.
rep_08: Hi there.
rep_08: I was looking to speak with maybe like the owner or the person who manages the marketing for the restaurant.
the prospect (rest_096): Who manages what?
the prospect (rest_096): Okay,
the prospect (rest_096): how can I help you with that?
rep_08: So somebody made a request on our website with the initials SS.
rep_08: for us to do like an assessment of the online ordering for Oh My Gyros.
rep_08: Our company is called Owner.com.
rep_08: I don't know if that rings a bell to you.
the prospect (rest_096): No,
the prospect (rest_096): so you,
the prospect (rest_096): um,
the prospect (rest_096): do you need something from them?
the prospect (rest_096): Are you trying to get us to buy from you or what?
the prospect (rest_096): Okay.
the prospect (rest_096): Um.
rep_08: So this person made a request on our website to assess your
rep_08: website.
rep_08: um so i was just following up and trying to understand who made that request um like the email that they used was shaw s the e at gmail.com sure yeah
the prospect (rest_096): Can you say Pai Gairo's website?
rep_08: and like our company is called owner.com
the prospect (rest_096): I'm excited for it.
the prospect (rest_096): Let me see.
the prospect (rest_096): Let me call.
the prospect (rest_096): And I rep_14 see.
rep_08: Okay,
rep_08: sure.
rep_08: It's owner,
rep_08: owner.com.
rep_08: Yeah,
the prospect (rest_096): Let me see if they answer.
rep_08: sure.
the prospect (rest_096): Who would know?
the prospect (rest_096): Question.
the prospect (rest_096): On the third line,
the prospect (rest_096): someone called saying that you guys put a request.
the prospect (rest_096): Do you know of owner.com?
the prospect (rest_096): Yes.
the prospect (rest_096): Yes.
the prospect (rest_096): Maybe you can talk to him.
the prospect (rest_096): Let's see.
the prospect (rest_096): Sir,
the prospect (rest_096): I have the owner.
the prospect (rest_096): Can you hear him?
rep_08: um yeah i can hi there yeah so sorry sorry to trouble you with this um we were just following up on somebody made a request on our website owner.com to do an assessment of like oh my gyro's caddy um we
rep_08: didn't get a name we just got like initials ss so i the email they used with shaw tzadiki i don't know if that person is like affiliated with the restaurant or not but
the prospect (rest_096): Yes,
the prospect (rest_096): I rep_14 send you the number.
rep_08: Okay,
the prospect (rest_096): You're welcome,
the prospect (rest_096): sir.
the prospect (rest_096): Okay,
the prospect (rest_096): sir.
the prospect (rest_096): So I guess he rep_14 call you personally.
rep_08: yeah,
the prospect (rest_096): It was this owner.
rep_08: Okay.
rep_08: Yeah.
rep_08: I just wanted to make sure it wasn't like a mistake or something.
rep_08: So I appreciate you helping out with that.
rep_08: So his name is Shaw.
rep_08: Is that his first name?
the prospect (rest_096): Well,
the prospect (rest_096): his name is Fahad,
rep_08: Oh,
rep_08: Fahad.
rep_08: Interesting.
rep_08: Okay.
the prospect (rest_096): but it's because there are several owners that do different things.
rep_08: Yeah.
rep_08: Gotcha.
rep_08: Gotcha.
rep_08: Okay.
rep_08: Okay.
rep_08: No worries at all.
rep_08: My phone number,
rep_08: whenever you're ready,
the prospect (rest_096): Okay.
rep_08: it's [PHONE].
the prospect (rest_096): [PHONE].
the prospect (rest_096): And then what was your name one more time,
rep_08: to be s-u-b-i-e sounds good sounds good thanks so much i appreciate it okay thank you bye
the prospect (rest_096): sir?
the prospect (rest_096): SUV8.
the prospect (rest_096): Okay.
the prospect (rest_096): So I texted it to him,
the prospect (rest_096): sir,
the prospect (rest_096): and he should contact you shortly.
the prospect (rest_096): Thank you.
the prospect (rest_096): Thank you,
the prospect (rest_096): sir.",5,demo_booked,rep_08,mid,Mediterranean,full_service,1,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
call_010,"the prospect: Hello?
rep_01: the prospect,
rep_01: it's rep_01 Foster from Owner.com.
rep_01: How are you doing?
the prospect: I'm sorry?
rep_01: rep_01 from
rep_01: Owner.com.
the prospect: Hi,
the prospect: the prospect.
the prospect: How are you?
rep_01: I'm doing well.
rep_01: Did you have a busy week last week?
the prospect: Yes,
the prospect: I told you to call me,
the prospect: yes.
the prospect: But
the prospect: I don't have an answer right now in this moment because I told you we opened the other location right now.
the prospect: And I know we lose the promotion,
the prospect: you told me.
the prospect: And,
the prospect: yeah,
the prospect: I have to give an answer as soon as possible if we can work together.
the prospect: Because I'm running out here and there for the relocation too.
the prospect: That's the reason because I didn't call you back.
the prospect: I'm so sorry,
the prospect: rep_01.
rep_01: No,
the prospect: Sorry about that.
rep_01: no,
rep_01: I understand.
the prospect: Yes,
the prospect: sorry,
the prospect: sorry.
the prospect: Yes,
rep_01: So are you,
the prospect: sorry,
the prospect: yes.
rep_01: is it you,
rep_01: you have to speak with somebody else?
rep_01: Is that what I'm hearing?
the prospect: No,
the prospect: no,
the prospect: no,
the prospect: no.
the prospect: I'm speaking only with you guys.
rep_01: Oh,
rep_01: no,
rep_01: I meant,
rep_01: sorry,
rep_01: like I thought I heard you say like there was a partner or someone you were waiting on,
rep_01: but you've been running around,
rep_01: have you?
the prospect: Oh,
the prospect: yeah,
the prospect: yeah,
the prospect: yes.
the prospect: Yes.
the prospect: So we,
the prospect: yes.
the prospect: So
the prospect: I have a partner,
the prospect: so we decided right now to put that one in hold for one or two more weeks because we are,
rep_01: Okay.
the prospect: you know,
the prospect: we don't have time to open the other place.
the prospect: So
rep_01: Okay.
the prospect: I'm working like 14 hours every day.
the prospect: So
the prospect: I want to sit down and have another meeting at one point with you again and my partner and we can see everything again,
rep_01: Yeah.
the prospect: you know.
the prospect: But he already knows about everything.
the prospect: We are very interested.
the prospect: If in the future,
the prospect: in a couple of weeks,
the prospect: the answer is negative,
the prospect: I rep_14 tell you,
the prospect: of course.
the prospect: But right now,
the prospect: we are focusing on this project.
the prospect: We are running out of time.
the prospect: So I rep_14 tell you straight if we want to work with you or not.
the prospect: But right now,
rep_01: Okay,
rep_01: yeah,
the prospect: I have to focus on this one in this moment.
the prospect: I'm so sorry.
rep_01: yeah,
rep_01: no worries,
rep_01: no worries.
rep_01: It's okay,
rep_01: it was my manager and my directors were just asking what was going on for an update.
the prospect: No,
the prospect: no,
the prospect: of course,
the prospect: of course.
the prospect: No,
the prospect: I got it,
the prospect: I got it,
the prospect: I got it.
the prospect: I completely understand.
rep_01: That's okay.
the prospect: I completely understand.
rep_01: Is there any way we can for sure set a time to meet and I can see what we can get held for you or what things we can make flexible for you?
the prospect: In these three weeks,
the prospect: I don't think so.
the prospect: Because we are running out of the clock to open the other place,
the prospect: and we don't have time right now,
the prospect: and plus I have the restaurant crazy busy.
the prospect: so i have to be really realistic with you with you so if you call me in two weeks break we can set up something you know and i have more time yep yeah yeah
rep_01: Okay.
rep_01: Okay.
rep_01: Yeah.
rep_01: Why don't we do that?
rep_01: Today's the fourth.
rep_01: If I call you in two weeks,
rep_01: it'll be the week of the,
rep_01: what is that?
rep_01: The 16th?
rep_01: 15th?
rep_01: 16th?
rep_01: So I'll call you that week.
the prospect: something yeah all right please thank you so much i really appreciate that thank you bye-bye no no worries thank you
rep_01: Okay.
rep_01: Okay.
rep_01: Of course.
rep_01: Thank you,
rep_01: the prospect.
rep_01: Of course.
rep_01: Of course.
rep_01: Appreciate it.
rep_01: Of course.
rep_01: Thank you for communicating.
rep_01: Of course.
rep_01: Bye-bye.
the prospect: Bye-bye.",3,demo_booked,rep_01,senior,unknown,unknown,1,2026-04-15 18:42:53.235,CLAUDE_SNOWFLAKE_AI_USER
